Title,Abstract,Funding (USD),Start Year,End Year,Funder,Research Country,Funder Country,Fields of research
A quantum approach to symbolic dynamics,"This project in pure mathematics aims to solve problems in symbolic dynamics (a mature branch of dynamics with important connections to coding theory, information theory, and operator algebras) using tools from the modern theories of quantum information and quantum groups. The central challenge dating back to at least the 1970s is to classify symbolic dynamical systems. My proposal pioneers a highly interdisciplinary and novel approach using the uniquely quantum phenomena of ‘entanglement’ and ‘noncommutativity’ as they appear in quantum information/quantum groups. The main objective is therefore to establish a fruitful connection between symbolic dynamics, quantum information theory and quantum groups to the benefit of all three communities.
The proposal is based around two central open problems: how do we classify symbolic systems, and what are the symmetries of symbolic systems? A novel approach to these problems builds on the recent advances made in part by the supervisor that connect graph theory with quantum information/quantum groups. I introduce a new nonlocal game (the Conjugacy Game) that will define ‘quantum conjugacies’, and a notion of quantum automorphism that will define ‘quantum symmetries’ of symbolic systems. This marks the first interaction between quantum information/quantum groups and symbolic dynamics. The ideas are therefore very timely, will have high impact, and set a precedent for future uses of quantum mathematics in other domains and specifically other classes of dynamics (e.g. multidimensional subshifts and algebraic actions).
The fellowship will strengthen my academic career via the opportunity to learn new tools in quantum mathematics and apply them to solve important problems in dynamics. It will also allow me to establish new collaborations with leading experts in dynamics and quantum information/quantum groups that will play a key role in my goal of obtaining a permanent academic job and an investigator grant to build a research g",232654,2025,2027,European Commission,Denmark,EU,Mathematical Sciences; Pure Mathematics; Quantum Physics
Dynamics of Nonlinear Dispersive Equations,"Dispersive equations are ubiquitous in nature, arising in areas such as water waves, optics, lasers, ferromagnetism, particle physics, general relativity, nonlinear elasticity, and many others. Examples are nonlinear Schrödinger equations that govern Bose–Einstein condensates, a fascinating phenomenon predicted by quantum statistical mechanics, for which the 2001 Nobel Prize in Physics was awarded following experimental verification. Solitons, or coherent solitary waves, are an extraordinary and still mysterious feature of solutions to dispersive equations. The project’s overarching goal is to establish (in)stability results for solitons, further study their dynamics even in the presence of (in)elastic collisions and blow-up phenomena and understand the soliton resolution conjecture for general solutions. The project provides research training opportunities for graduate students. Combining techniques from partial differential equations (PDE), harmonic analysis, asymptotic analysis, dynamical systems, and spectral theory, this project explores qualitative descriptions of the dynamics of dispersive waves from three distinct perspectives. The first objective is to understand the dynamics of multi-solitons in dispersive equations, focusing on their stability, uniqueness, and (in)elastic collisions. The second objective is to examine the asymptotic stability of (topological) solitons under the influence of long-range scattering and internal modes. The third objective is to utilize integrable structures to investigate the dynamics of physically important integrable systems and their perturbations. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",231575,2024,2027,NSF,United States,United States,Quantum Physics
REU Site: Research Experiences in Astronomy for Undergraduate Students at the Maria Mitchell Observatory,"This award is for renewed funding of the Maria Mitchell Observatory (MMO) Research Experiences for Undergraduates (REU) Site in Nantucket, Massachusetts. The REU program will be offered annually to six qualified applicants, who will perform state-of-the-art data analysis using a wide variety of space- and ground-based astronomical observations. The student projects include the general areas of: formation and evolution of stars, groups and clusters of galaxies, large-scale structure of the universe, cosmology, and star clusters. The MMO REU program will have a significant impact on the skills and career development of student participants by enhancing their capability to do research, to present their results at scientific meetings and in public settings, to write scientific papers, and to write observing proposals to use national and international telescope facilities. Hundreds of undergraduate students have participated in the REU program to date, the great majority of them women, and many have gone on to successful careers as astronomers at leading universities, observatories, and other organizations around the world. Indeed, roughly one of every 20 American women with a PhD in astronomy today acquired formative research experience at the MMO. This award will therefore contribute to developing a talented STEM workforce in the United States. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",230639,2024,2026,NSF,United States,United States,Astronomical Sciences
LEAPS-MPS: Unveiling the Role of a Galaxy's Structure with Bespoke Numerical Models,"Galaxies come in a wide variety of shapes and sizes, and each has a subtly different rate at which it forms stars and depletes its gas supply. Spiral galaxies, like our own Milky Way, act as great star formation engines of the Universe. Over their several billion-year histories they convert their gas reservoirs into stellar material. These stars then deliver energy and material back into the interstellar medium (ISM). The principal investigator will use computer simulations to gauge the role of the shape and dynamics of a given galaxy in determining how well it forms stars. By comparing six model galaxies, spanning a range of morphologies, connections can be made between structure and rate of star formation and inform interpretations of data from modern observational facilities. The project will employ two undergraduate researchers who will be tasked with constraining initial conditions of the simulations, testing new physics routines in the simulation code, and comparing results of simulations to observable data products. The PI will also develop a new undergraduate astrophysical research methods course to foster greater interest in astronomy and prepare students for higher level degrees in the field. The team will conduct hydrodynamical+gravitational numerical simulations of nearby systems to assess to what degree a galaxy’s structure and dynamics are a controlling factor in regulating its star forming activity. A complete picture of the star formation process is vital throughout astronomy, tying directly into the numbers of stars formed in a given location in a galaxy, their resulting elemental abundances, and conditions surrounding them. Currently, there is a lack of a suite of galactic simulations tailored to specific nearby galaxies in the field. This work will be the first of its kind and will formulate a tailored set of models that would act as a 1:1 comparison tool to test models of gaseous and stellar physics and their role in cloud creation and star formation. This will allow a detailed study of the impact of spiral arms and galactic bars inherent to these systems on the star formation process and in sculpting their dense gas. The project will use an array of metrics to test the model results against real observations, including resolved star formation relations, scale-heights of gas/stars, and structure/kinematics of gaseous disks. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",230625,2024,2026,NSF,United States,United States,Astronomical Sciences
"Liquid crystals, their suspensions, and extreme wave phenomena in photonic devices","This project has two scientific research threads: a) liquid crystals (and their suspensions), and b) extreme wave phenomena in photonic devices. Concerning a): Certain materials, often made up of rod-like or disc-like molecules, display a range of ""liquid crystalline phases"" at suitable temperature/concentration ranges; these phases lie between the traditional (disordered) liquid and (ordered) crystalline phase, and thus possess varying degrees of order. Liquid crystals and their suspensions have revolutionized the industry of ultra-thin display devices and are showing promise in a number of other applications such as drug delivery, active matter and the orientation of carbon nanotubes. Concerning b): The photonic devices studied in this project include certain novel kinds of resonators, waveguides, and antennas. Particular focus is on devices made from epsilon near zero materials: these are materials whose dielectric permittivity is close to zero at the frequency of device operation. These novel devices find applications in efforts to enhance light-matter interactions. Common to both scientific threads of the proposed research is that their mathematical modeling leads to unconventional questions in partial differential equations and the calculus of variations that require new analytical tools that this project will develop. The scientific broader impact of this research is that its findings are expected to shed valuable insights on specific models used in application areas. These insights are expected to explain the results of direct numerical simulation (DNS) when this is possible, and more importantly, provide qualitative and (sometimes) quantitative information when DNS becomes formidable or even prohibitive. The project will also include a significant component on human resource development: a number of the projects in this award will be carried out in collaboration with graduate students and postdocs at the University of Utah. The trainees will learn, use, and develop tools in the calculus of variations, partial differential equations, geometric measure theory and homogenization theory. Concerning liquid crystals, at the heart of their role in the aforementioned applications are both their anisotropic properties leading to their ordered phases on the one hand, and the rich phase transitions they can undergo between phases displaying varying degrees of order. This project will elucidate these effects through mathematical modeling and analysis and explain how they robustly result in a description of the shapes of the phase boundaries between the ordered nematic and disordered isotropic phase. A different goal of the research thread on liquid crystals is the justification of the widely used ""electrostatic"" description of the many-particle interactions in out-of-equilibrium liquid crystal colloids. Such a description is invaluable, because without it the modeling of liquid crystal colloids consists of a highly nonconvex, nonlinear problem in a domain exterior to the colloidal particles (coupled with other multi-physics aspects of the specific application). Concerning photonic devices: The mathematical problems addressed will involve either the Maxwell system (in 3D) or the scalar Helmholtz equation (in 2D) but with piecewise constant, complex coefficients; often such systems interact in interesting ways with geometric features such as corners, producing resonance effects. This project is aimed at understanding these effects, and some novel shape optimization problems arising from these physical situations. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",230111,2024,2027,NSF,United States,United States,Engineering; Quantum Physics
Quantum Atom Light Interfaces in High Density Samples,"Light mediated dipole-dipole (DD) interactions in high density samples constitutes an interesting source of complex physical phenomena. Ultracold atomic systems provide a unique platform to study such fundamental phenomena. This project targets the systematic study of the light mediated DD interactions in Yb atoms, a two-electron atom. This remains a highly unexplored regime where even simulations for small atom numbers remain difficult. A profound knowledge of the DD coupling  mechanism can have severe implications in our understanding of atom-light quantum interactions in high density samples, and can open the way to new and exciting possibilities in quantum simulation or quantum metrology. 
We will study DD interactions in high spatial and optical density samples of Yb. Our main goal is to understand line shifts for near-resonance probing light in the usual weak drive regime, but also in the strong and pulsed operation regimes. The expected line shifts will inevitably affect the atomic population dynamics, which has implications in advanced metrological protocols (Rabi/Ramsey spectroscopy) currently used in state-of-the-art optical atomic clocks. Understanding and harnessing DD interactions in such context can be a crucial step towards more precise and stable atomic sensors.",229215,2024,2025,European Commission,France,EU,"Atomic, Molecular and Optical Physics; Quantum Physics"
Isomers in Odd-Odd Nuclei,"This proposal delves into the science of nuclear isomers, complex quantum states with distinct energy levels and long lifetimes. Isomers hold untapped potential in nuclear physics and astrophysics, capable of revolutionizing energy production, impacting stellar evolution, enhancing timekeeping, and transforming medical imaging. Modelling isomers remains an ongoing challenge. With the global interest in isomer research growing, new models for the description of isomerism must be pursued. With this idea in mind, the proposal aims to develop an innovative theoretical framework unifying existing nuclear models, specifically, the algebraic interacting boson fermion-fermion model with constraints coming from shell model interactions, to bridge the theory gaps for resolving the mysteries of odd-odd isomers. This is in line with the mutual interests of the applicant and supervisor.

Odd-odd nuclei are very rich in the number of isomers, but their quantitative understanding is still amiss. Their isomer data will be analyzed to search for the global similarities and differences in spectroscopic properties across the nuclear landscape. The main goal is to quantify the decay properties, lifetimes, and structure of odd-odd isomers, particularly in shape-transitional regions, where the isomeric structure gets very complex and is not yet properly understood. The new theoretical tool will be generic in nature and can be used to study other nuclear physics phenomena, having a longer-term influence on nuclear physics research even after the fellowship. Interdisciplinary and broad-range nuclear physics applications, including Bose-Einstein Condensate, superheavy nuclei, and isomer experiments will be established, benefiting from the expertise of senior experimental collaborators at GANIL, Surrey, and London. The plan envisions cross-fertilisations between theoretical insights and experimental data, boosting the applicant's career, and inspiring the scientific awareness of the public.",229212,2024,2026,European Commission,France; France,EU,Nuclear and Plasma Physics; Synchrotrons and Accelerators
Approaching the maximum thermoelectric figure of merit of 2D materials by nanoengineering,"Nanoengineering techniques have been developed to reduce thermal conductivity (κ) and improve the thermoelectric figure of merit (ZT) of materials. However, both these strategies have had their own limitations. Firstly, due to the nanopatterns only reducing the κ in a single direction, is difficult to reduce the total κ of thermal isotropic materials. Secondly, when nanoengineering the material to increase ZT by lowering its κ, the nanopatterned sample with large porosity (> 0.5) can greatly remove its volume and suppress the electron mean free path, which would also significantly reduce the electrical conductivity (σ) and resulted in a low increase of the ZT value. CARMEN will overcome these limitations by taking two advantages of emerging two-dimensional (2D) materials, especially SnSe2: a high Seebeck coefficient of 500 μV/K at 298 K and a high anisotropic κ ratio of ~ 8.4. Therefore, nanoengineering 2D materials can reduce their κ to approach the maximum value of ZT with a limited reduction in σ. Additionally, the phonon drag of SnSe2 was first revealed by the applicant during a three-month research visit in the supervisor's group, which will be further investigated by CARMEN. To understand and exploit the thermoelectric properties of 2D materials, CARMEN will design, construct, measure, and explore nanopatterned SnSe2 to approach its maximum thermoelectric ZT value above room temperature and to manipulate the phonon drag in SnSe2 at low temperatures (1 - 273 K). The project is motivated in part by the urgent need for highly thermoelectric ZT materials to harvest waste heat from electronics, and in part by the fundamental quest toward understanding and manipulating the phonon-electron interaction in 2D materials. It represents an extraordinary training opportunity on complementary scientific and soft skills for the applicant and has transformational impact potential on flexible thermoelectric devices, thermal engineering, quantum technologies, and beyond.",229212,2024,2026,European Commission,France,EU,Quantum Physics
Collective effect with ordered nanofiber-trapped atomic arrays as efficient light-matter interfaces,"Efficient interactions between photons and quantum emitters are at the heart of numerous quantum information devices, such as quantum memories, switches or gates. Using chains of individual cold atoms trapped close to an optical nanofiber, the goal of the proposed research is to exploit the enhanced linear and non-linear quantum interactions that can result from the unique features of such one-dimensional ordered arrays. Periodically arranged atomic structures indeed exhibit specific light scattering properties, i.e., Bragg reflection, super-, sub- and even selective radiance. The interaction of guided light with ordered arrays can lead to tailored functionalities unavailable in current light-matter interfaces. Novel and resource-efficient quantum memory and gate protocols will be targeted. This project will push this original light-atom array paradigm towards building blocks for future quantum technologies. The candidate, with a strong background in atomic physics, quantum optics, and nonlinear optics will exploit his expertise to develop the project while extending his skillset towards the implementation of quantum information networks and further developing his innovation and leadership abilities during the fellowship.",229212,2024,2026,European Commission,France,EU,"Atomic, Molecular and Optical Physics; Quantum Physics"
Detecting and Distinguishing Majorana Modes through Atomic Scale Shot Noise,"An exciting area of research in quantum condensed matter physics involves the exploration of Majorana bound states (MBS) to create topologically protected qubits for fault-tolerant quantum computing. In the quest for experimental evidence of these quasiparticles, the most frequently observed indication of MBS is considered as a peak in the differential conductance spectra at zero bias voltage. While this observation could be easily detected in scanning tunneling microscopy/spectroscopy experiments, it does not serve as a piece of conclusive evidence for the Majorana nature of a state as other topologically trivial bound states, such as Yu-Shiba-Rusinov states, can also exhibit the same zero-bias conductance peak. In this direction, recent theoretical investigations have extensively examined how shot noise at atomic could serve as a distinctive tool to differentiate between MBS and trivial bound states in vortex matter and nanowires. However, experimental verification of these theories has not been feasible so far due to the underlying challenge of measuring shot noise with high enough sensitivity at a nanometer resolution. Although experimentally challenging, in this project we will combine atomically resolved differential conductance and shot noise together by using a home-built shot-noise scanning tunneling microscope (SN-STM). The unprecedented power of this technique will be exploited to measure shot noise which provides direct evidence to distinguish the MBS from any conventional in-gap mode. We propose to investigate a couple of different scenarios such as single atomic impurities and vortex cores in a variety of iron-based superconducting quantum material, magnetic nanostructure (1D chains) coupled to an s-wave superconductor.",229212,2024,2026,European Commission,France,EU,"Engineering; Electronics, Sensors and Digital Hardware; Nanotechnology; Condensed Matter Physics"
INTEgrating GaN nanowire heterostructures on 2D heteRogeneous plAtforms for photodetectION,"III-nitride semiconductors (GaN/AlGaN) are strategic materials for photodetection in a broad spectral range from deep ultraviolet to far infrared. These domains can be addressed thanks to interband and intersubband transitions respectively, which cover wavelengths inaccessible to standard III-V semiconductors. Heterogeneous integration of III-N nanowires (NWs) on 2D materials at the same time opens new technological opportunities for advanced optoelectronics and presents fundamental interest to elucidate the physics of van der Waals epitaxy (vdWE). Available research on epitaxial growth of GaN NWs on 2D graphene has demonstrated its promise; however, the scope for improvement remains limited. A number of questions with fundamental significance e.g. the influence of the 2D material in NW growth, controlling factors for NW size/size-distribution, and generalized understanding of vdWE with experimental authentication remain open. INTEGRASION proposes to address these open questions and to achieve a general understanding of vdWE of nitrides on 2D materials for advanced optoelectronic devices. To reach this goal, GaN/AlGaN NWs will be grown on 2D transition metal dichalcogenides (WS2) and comparative analysis will be performed with growth on graphene. The fundamentals of growth process will be assessed experimentally and theoretically emphasizing the impact of 2D materials on the NW growth which is pivotal for heterojunction formation. GaN/AlGaN heterojunctions in multi-quantum well structure will be grown on 2D platforms to demonstrate interband UV photodetection as well as intersubband photodetection in mid- and far-infrared domains. Besides, heterogeneous integration of GaN NWs on 2D platforms will facilitate the post-growth transfer of III-N NWs to flexible substrates where monolithic integration is not possible. INTEGRASION will address these three key aspects: (i) heterogenous growth, (ii) interband/intersubband photodetection and (iii) hybrid integration.",229212,2024,2026,European Commission,France,EU,Engineering; Nanotechnology; Condensed Matter Physics
Reagentless Organic Synthesis,"""This project proposal, """"Reagent-less Organic Synthesis through Vibrational Strong Coupling,"""" addresses the pressing need in synthetic chemistry for sustainable and environmentally friendly chemical transformations. It aims to harness the power of vibrational strong coupling (VSC) to enable reagent-less, clean chemical reactions with maximum atom economy and minimal waste generation.
VSC involves selectively coupling a molecule's vibrational transition to the zero-point electromagnetic fluctuations of an optical cavity. This coupling, even in the absence of light, creates vibro-polaritonic states that can alter the ground-state reactivity landscape. VSC being a nascent field has shown promise in modifying some chemical reactions, however, many fundamental questions remain unanswered.
The research plan combines the fabrication and characterization of optical cavities, monitoring coupling strength and reaction kinetics using FT-IR spectroscopy, product characterization with GC-MS and NMR spectroscopy, and advanced spectroscopic techniques. Collaboration with experts in computational quantum physics will bridge the gap between theory and experiment.
This project's innovative aspects lie in its potential to achieve selectivity in chemical reactions that are challenging or impossible through conventional methods, eliminating the need for expensive catalysts, hazardous reagents, or harsh conditions. By exploring a range of reactions and studying the underlying principles, this project contributes to sustainable chemical synthesis, aligning with the goals of circular economy strategies and innovative energy-efficient practices.
""",229211,2024,2026,European Commission,France; Germany,EU,Chemical Sciences; Physical Chemistry; Quantum Physics
Spintronics based on Ferroelectrics,"Current state of the art technologies demand high density and high performance electronic devices with reduced energy consumption. This stretches the performance limits of Complementary Metal Oxide Semiconductor (CMOS) transistors technology. Among the many beyond CMOS approaches, one of the most promising routes is the spintronics ecosystem. In the framework of this project, we aim to investigate a beyond CMOS spintronics device recently proposed and called Ferroelectric Spin Orbit (FESO) device, where the spin polarized states of a Rashba interface are manipulated through its proximity with a ferroelectric material. The project’s innovation relies on the exploitation of this effect to transform spin to charge currents in a controllable manner through the reversing a ferroelectric’s polarization, to develop a new in memory computing technology. The FESO technology involves non-volatility, low operating voltage and much lower energy consumption compared to conventional CMOS and other spintronic devices. As a main scientific objective, the researcher will investigate and understand the effect of the ferroelectric layer to FESO devices performance in terms of materials choice, growth quality, dimensions and compatibility to Ferromagnetic materials. The main technological objective is to fabricate a prototype and characterize its operational performance with regards to cutting edge nanoelectronics standards. The results of the project and key performance of the FESO device will be tabulated in a roadmap. During this project the researcher will be trained in advanced Nanofabrication techniques and device characterization. Except from the research skills, the researcher will also gain experience in a series of transferable skills. This project constitutes a perfect opportunity to establish an independent scientific profile at the frontier of nanoelectronics and semiconductor industry, a key field in the framework of major European Commission initiatives.",229211,2024,2026,European Commission,France,EU,Chemical Sciences; Macromolecular and Materials Chemistry; Engineering; Materials Engineering; Condensed Matter Physics
Tracing Dynamical Evolution of Dark Matter via Machine Learning,"""We plan to answer two pivotal questions of modern astrophysics: the nature of dark matter and its interaction with baryonic processes. Utilizing galaxy observations and cosmological hydrodynamical galaxy simulations across a redshift range of z = 0.3-2.5, we will examine 3-10 Gyr of cosmic history. 

We propose to """"Trace the Dynamical Evolution of Dark Matter via Machine Learning""""- TraDE-DML, that pioneers an advanced methodology for assessing the dynamical masses of galaxies, aiming for unprecedented precision in the quantification of both baryonic and dark matter components. Unlike conventional velocity profile studies, TraDE-DML eliminates assumptions of symmetry and dynamical equilibrium, substantially reducing uncertainties in dark matter estimates. Our project aims to exploit existing and future survey data, preparing for expansive telescopic projects like ELT and SKA. Simple in concept but revolutionary in application, the machine learning techniques used in TraDE-DML are poised for transformative advances in dark matter studies, particularly in determining its central density slope. By synergistically integrating knowledge from observational astronomy, theoretical physics, machine learning, and statistics, TraDE-DML aims to make significant strides in unraveling the elusive nature of dark matter. 

As an expert in observational data analysis with privileged access to leading galaxy surveys like MAGPI and MIGHTEE, I possess the skills to efficiently extract and analyse pertinent data. The host, Dr. Benoit Famaey, excels in galaxy dynamics and alternative dark matter theories. Supported by a team versed in cosmological simulations and machine learning experts at the Inter-disciplinary Institute IRMIA++, we form a unique research synergy. Utilizing advanced machine learning frameworks and leveraging expansive survey data, TraDE-DML is well-positioned for immediate execution. 

""",229211,2025,2027,European Commission,France; France,EU,Particle and High Energy Physics
Affordable TAndem Cell Architecture by Multi-thin-epitaxy Approach,"Climate change is one of the greatest challenges of our time. It is essential to drastically reduce greenhouse gas emissions.  We need more and better photovoltacis (PV) to drastically reduce the CO2 emissions. PV will need to be widely distributed to be able to replace the enormous (and growing) amounts of conventional electrical energy. Availability of surface areas allocated to PV, preferably close to the end use of the electricity, will become an issue. Reliability and a high energy yield per area will become important for the success of PV products. Europe presents higher complexity than other regions, because of its limited space and high-density population. 
Current Silicon technology is basically limited by its single junction (one semiconductor bandgap) to efficiencies below 30%. Multi-junctions/Tandems using more than one semiconductor diode (aiming at different energies in the spectrum) are the demonstrated path to overpass this limit and achieve efficiencies close to 40%, as done for three junctions (3J) on III-V and with 35% achievable by using a Si bottom junction (3J GaInP/GaAs/Si). Two tandems technologies have emerged as promising to upgrade the current Si technology: perovskites/Si and III-V/Si.  III-V/Si presents the highest efficiency and stability (20-30years) but two orders of magnitude higher cost. 
The ATACAMA project will develop the top junction for a III-V/Si tandem (AlGaAs/Si), with a drastic reduction in cost for the III-Vs by (1) ultra-thin absorbers using low-cost nanostructuring and (2) substrate multi-thin-epitaxial enable by a novel epitaxial lift-off process. Furthermore, the III-V/Si tandem has to attain a high efficiency (>30%)(3), that will ensure a cost-effective solution. Nevertheless, the tandem must ensure circularity (recyclable path) to split the Si from the III-V, by gluing with transparent polymers, with a melting point of 200°C, ensuring the possibility of easily recycling in the future the AlGaAs cell from the Si cell.",229211,2024,2026,European Commission,France,EU,Engineering; Condensed Matter Physics
"Challenging the state-of-the-art of low intensity noise, single frequency fiber lasers","The focus of this project is the development of state-of-the-art kW-class, low noise, single frequency (SF) fiber laser. SF lasers operate with a single longitudinal mode, emitting quasi-monochromatic light with kHz-class linewidth and low intensity noise. This class of lasers are in great demand for precision time/frequency metrology, atom cooling, coherent LIDAR, and laser spectroscopy. However, power scaling SF fiber lasers, while maintaining its low noise properties and high beam quality has been a challenge due to the onset of stimulated Brillouin scattering (SBS) and transverse modal instability (TMI) that disrupt the stable system operation beyond a certain power level (known as threshold). But high-power (> 500 W) low-intensity noise, SF lasers with high beam quality are quintessential for building next generation interferometric gravitational wave detectors (GWDs) and efficient neutral beam injector systems for fusion reactors. The current state-of-the-art for these systems is limited to ~ 400 W in an all-fiber architecture. We intend to challenge it by developing kW-class, low-noise SF fiber laser by using optimized laser design, novel ytterbium-doped fibers (commercial and customized) and efficient techniques to suppress the undesirable nonlinear and thermal effects. Such a system would also be valuable in understanding the dynamics and interplay between SBS and TMI and developing an accurate system model for optimized laser parameters and threshold levels. For this, we seek to combine the expertise of the applicant (Roopa Prakash), in building kW-class, narrow linewidth (~10 GHz), polarization-maintaining fiber lasers with the expertise of Giorgio Santarelli’s group in developing state-of-the-art low-intensity noise, SF lasers using specialty fibers. The interdisciplinary nature of this project will generate advances beyond the state-of-the-art not only in the fields involved in its development, but also in those where this laser can be applied.",229211,2024,2026,European Commission,France; France,EU,Classical Physics
Ab initio nucleaR Reactions in the Discovery perioD of exotic nuclei.,"A century after its discovery, the atomic nucleus remains a subtle organization of protons and neutrons interacting through QCD. Its properties are the driving mechanism of cataclysmic events in the cosmos like those leading to the synthesis of medium-to-heavy elements. Unfortunately, precise, fundamental nuclear data, which are essential both to the sustainability of our civilization through technological applications, and to our understanding of the universe, are still a considerable undertaking to measure or to compute. Our objective is to unlock the applicability of ab initio predictions of nuclear collisions, which have been, so far, lagging behind that of static properties of nuclei. To reach this goal we aim:
1) To develop perturbation theory to ab initio reaction modeling, and by this means to open up to reacting systems above the p-shell;
2) To exploit the aforementioned development in the context of strict effective field theory for nucleons.
We expect these achievements to allow us to contribute to the understanding of the detailed balance between nucleons that will be uncovered at the edges of nuclear stability at facilities like Spiral2 in France and FAIR in Germany.
The experience researcher (ER) will bring to the host group its know-how in perturbative methods, of which he has been a
practitioner in nuclear structure, and, in doing so, he will boost the applicability of the host ab initio reaction tools. In turn, he will benefit from the supervisor’s expertise in reaction theory and effective field theoretical tools thereby acquiring a strong and valuable portfolio aiming to perform nuclear evaluation of data and predictions for supporting both theoretical and experimental nuclear astrophysics needs. In conclusion, this project is mutually beneficial to the host group and the ER. It will increase the ER visibility both at the EU and international levels, ready his managerial and mentoring skills for future career opportunities in academia or industry.",229211,2024,2026,European Commission,France; United States,EU,Nuclear and Plasma Physics; Synchrotrons and Accelerators
Comprehensive Cartography of the Circum-galactic medium Using aBsorption and Emission lineS in 3D datasets,"Galaxies form, grow and evolve by exchanging gas with their environment. Information about gas flows in and out of galaxies is encoded in their circumgalactic medium (CGM). Studying the CGM is therefore crucial to understand galaxy formation and evolution. However the detection of the CGM is challenging because of its low density. Historically, the CGM has been detected using absorption lines techniques providing only local information about the gas distribution and limited to rare cases where a bright source is in the background. Until very recently, the 2D mapping of the CGM was only possible for rare and massive nearby galaxies or required the use of, often criticized, stacking methods. The arrival of 3D spectrographs have revolutionized the study of the CGM by enabling the detection of low surface brightness diffuse gas. By leveraging the exquisite MUSE deep fields data, the C3UBES project aims at providing a comprehensive 3D-mapping of the CGM for an unprecedented statistical sample of distant galaxies. By exploiting the complementarity between absorption and emission line studies in the MUSE deep cubes as well as the magnification power of gravitational lensing, my project will shed light on the CGM gas content, its morphology and the gas kinematics around galaxies. Connecting the CGM to the host galaxy properties will help us understand how the CGM regulates galaxy growth. The unprecedented C3UBES sample will allow me to statistically study the evolution of this relationship over almost half the history of the universe. The excellence of the research environment at CRAL (host institute) and the expertise of my supervisor will give me the best opportunities to enhance and expand my career possibilities. Finally, coming back to Europe and increasing my national and European visibility thanks to the MSCA fellowship appear like the next logical steps to pursue my career.",229211,2024,2026,European Commission,France,EU,Astronomical Sciences
Two-loop renormalization of the SMEFT and the WET,"The matching of the SMEFT onto the WET, i.e. expressing the WET parameters in terms of the SMEFT Wilson coefficients, is known since recently up to the one-loop level. These matching conditions depend however on unphysical entities and can therefore not be used in a consistent phenomenological analysis. In order to remove this scheme dependence the two-loop renormalization of the WET parameters needs to be taken into account, since it cancels this scheme dependence and therefore makes the results physical again. One objective of the current research project is to compute the full two-loop renormalization of the WET Wilson coefficients and implement the results in the public code wilson.  A second objective of the research project is to conduct the full two-loop renormalization for the SMEFT parameters. Performing the two-loop renormalization is motivated by the fact that at this order many more SMEFT Wilson coefficients become phenomenologically accessible through running effects, which therefore allows for a broader and more precise NP search. Another goal of this computation is again to remove unphysical dependencies that are present in the matching conditions. Although the full one-loop matching from general BSM theories onto the SMEFT is currently unknown, it is, however, expected to be available in the very near future. Together with the proposed calculation these matching conditions can then be used to perform a consistent and completely general NLO analysis of SMEFT parameters.",228170,2024,2026,European Commission,Switzerland,EU,Particle and High Energy Physics
Higher Order Parton Showers and Resummation to meet the High Luminosity LHC's accuracy goal,"With the upcoming high-luminosity phase of the Large Hadron Collider (LHC), the high energy physics community is gearing up to explore the fundamental building blocks of our universe with unprecedented precision. Consequently, the demand for precise and widely available theoretical predictions is at its highest level. Resummation of logarithmically enhanced terms plays a crucial role in achieving accurate phenomenological predictions, in addition to higher-order fixed-order predictions.
During my fellowship, I will to work on the design, implementation, and application of tools dedicated to Next-to-Next-to-Leading Logarithmic (NNLL) resummation, including novel applications, as well as the first complete dipole parton shower with validated NNLL accuracy. Both represent critical tasks to meet the accuracy needs of the next phase of the LHC and of future collider experiments.
As a first step, I intend to extend the established CAESAR formalism for NLL resummation to NNLL, inside a comprehensive framework within the Sherpa event generator, one of the major simulation tools used by the LHC experiments. The Sherpa-CAESAR framework will then be extended to accommodate hadron collider environments like the LHC. The integration of this baseline for NNLL resummation serves as a foundation for the following efforts. 
Subsequently, I plan to enhance the recently introduced Alaric parton shower with inclusion of established Next-To-Next-To-Leading Order (NLO) splitting functions. Ultimately, I will utilise the tools and methods developed in the initial phase to validate the NNLL accuracy of the enhanced Alaric parton shower.
By the project’s conclusion, not only will a significant enhancement in NNLL resummation have been realised, but novel novel strategies for NLO subtraction and parton shower matching will emerge. This project stands to make a substantial contribution to the advancement of particle physics and the successful execution of experiments at the LHC and beyond.",228170,2024,2026,European Commission,Switzerland; United Kingdom,EU,Nuclear and Plasma Physics; Particle and High Energy Physics
